naselje;občina
Abitanti;Koper
Adamovo;Velike Lašče
Adergas;Cerklje Na Gorenjskem
Adlešiči;Črnomelj
Adrijanci;Gornji Petrovci
Ajba;Kanal
Ajbelj;Kostel
Ajdovščina;Ajdovščina
Ajševica;Nova Gorica
Ambrož Pod Krvavcem;Cerklje Na Gorenjskem
Ambrus;Ivančna Gorica
Andol;Ribnica
Andraž Nad Polzelo;Polzela
Andrejci;Moravske Toplice
Andrejčje;Bloke
Andrenci;Cerkvenjak
Anhovo;Kanal
Ankaran;Ankaran
Anovec;Krško
Anže;Krško
Apače;Apače
Apače;Kidričevo
Apnenik;Šentjernej
Apnenik Pri Boštanju;Sevnica
Apnenik Pri Velikem Trnu;Krško
Apno;Cerklje Na Gorenjskem
Arclin;Vojnik
Arčelca;Trebnje
Ardro Pod Velikim Trnom;Krško
Ardro Pri Raki;Krško
Arja Vas;Žalec
Armeško;Krško
Arnače;Velenje
Arnovo Selo;Brežice
Artiče;Brežice
Artiža Vas;Ivančna Gorica
Artmanja Vas;Trebnje
Arto;Sevnica
Artviže;Hrpelje-Kozina
Avber;Sežana
Avče;Kanal
Avguštine;Kostanjevica Na Krki
Avsa;Kobarid
Aženski Vrh;Gornja Radgona
Babiči;Koper
Babinci;Ljutomer
Babna Brda;Šmarje Pri Jelšah
Babna Gora;Dobrova-Polhov Gradec
Babna Gora;Šmarje Pri Jelšah
Babna Gora;Trebnje
Babna Polica;Loška Dolina
Babna Reka;Šmarje Pri Jelšah
Babni Vrt;Kranj
Babno Polje;Loška Dolina
Bač;Ilirska Bistrica
Bač Pri Materiji;Hrpelje-Kozina
Bača Pri Modreju;Tolmin
Bača Pri Podbrdu;Tolmin
Bačne;Gorenja Vas-Poljane
Bakovci;Murska Sobota
Bakrc;Ivančna Gorica
Balkovci;Črnomelj
Bane;Velike Lašče
Banja Loka;Kostel
Banjšice;Nova Gorica
Banovci;Veržej
Banuta;Lendava
Barbana;Brda
Baredi;Izola
Barislovci;Videm
Barizoni;Koper
Barka;Divača
Bašelj;Preddvor
Bate;Nova Gorica
Batuje;Ajdovščina
Bavdek;Velike Lašče
Bavšica;Bovec
Beč;Cerknica
Bečaje;Cerknica
Bedenj;Črnomelj
Begunje Na Gorenjskem;Radovljica
Begunje Pri Cerknici;Cerknica
Beka;Hrpelje-Kozina
Bela;Ajdovščina
Bela;Kamnik
Bela Cerkev;Šmarješke Toplice
Bela Peč;Kamnik
Belavšek;Videm
Belca;Kranjska Gora
Belčji Vrh;Črnomelj
Bele Vode;Šoštanj
Beli Grič;Mokronog-Trebelno
Beli Potok Pri Frankolovem;Vojnik
Beli Potok Pri Lembergu;Šmarje Pri Jelšah
Belica;Dobrova-Polhov Gradec
Belica;Osilnica
Belo;Brda
Belo;Medvode
Belo;Šmarje Pri Jelšah
Belovo;Laško
Belski Vrh;Zavrč
Belsko;Postojna
Belšak;Prevalje
Belšinja Vas;Trebnje
Beltinci;Beltinci
