,naselje,rodilnik,mestnik,lat,lng,region_name,region_id
0,Abitanti,Abitantiv,Abitantih,45.55,13.7333,Obalno-kraška,SI044
1,Adamovo,Adamova,Adamovu,45.8363,14.6377,Osrednjeslovenska,SI041
3,Adlešiči,Adlešičiv,Adlešičih,45.5711,15.1889,Jugovzhodna Slovenija,SI037
4,Adrijanci,Adrijanciv,Adrijancih,46.805,16.2172,Pomurska,SI031
5,Ajba,Ajbe,Ajbi,46.088,13.6347,Goriška,SI043
6,Ajbelj,Ajbelja,Ajbelju,45.5088,14.91,Jugovzhodna Slovenija,SI037
7,Ajdovščina,Ajdovščine,Ajdovščini,45.8861,13.9097,Goriška,SI043
8,Ajševica,Ajševice,Ajševici,45.9558,13.6433,Goriška,SI043
10,Ambrus,Ambrusa,Ambrusu,45.9374,14.8029,Osrednjeslovenska,SI041
11,Andol,Andola,Andolu,45.74,14.7308,Jugovzhodna Slovenija,SI037
12,Andol,Andola,Andolu,46.5372,15.2733,Koroška,SI033
13,Andraž Nad Polzelo,Andraža Nada Polzela,Andražu Nadu Polzelu,46.2809,15.074,Savinjska,SI034
16,Andrenci,Andrenciv,Andrencih,46.566,15.9429,Podravska,SI032
17,Anhovo,Anhova,Anhovu,46.088,13.6347,Goriška,SI043
18,Ankaran,Ankarana,Ankaranu,45.5793,13.7379,Obalno-kraška,SI044
19,Anovec,Anovca,Anovcu,45.95,15.4833,Posavska,SI036
22,Apače,Apača,Apaču,46.406,15.7983,Podravska,SI032
23,Apnenik,Apnenika,Apneniku,45.8389,15.3361,Jugovzhodna Slovenija,SI037
24,Apnenik Pri Boštanju,Apnenika Priv Boštanjua,Apneniku Prih Boštanjuu,46.0092,15.3041,Posavska,SI036
25,Apnenik Pri Velikem Trnu,Apnenika Priv Velikema Trnua,Apneniku Prih Velikemu Trnuu,45.95,15.4833,Posavska,SI036
27,Arclin,Arclina,Arclinu,46.2933,15.3052,Savinjska,SI034
28,Arčelca,Arčelce,Arčelci,45.9104,15.0086,Jugovzhodna Slovenija,SI037
29,Ardro Pod Velikim Trnom,Ardra Poda Velikima Trnoma,Ardru Podu Velikimu Trnomu,45.95,15.4833,Posavska,SI036
30,Ardro Pri Raki,Ardra Priv Rakiv,Ardru Prih Rakih,45.95,15.4833,Posavska,SI036
31,Arja Vas,Arje Vasa,Arji Vasu,46.251,15.1639,Savinjska,SI034
32,Armeško,Armeška,Armešku,45.95,15.4833,Posavska,SI036
33,Arnače,Arnača,Arnaču,46.3625,15.1144,Savinjska,SI034
34,Arnovo Selo,Arnova Sela,Arnovu Selu,45.9048,15.5922,Posavska,SI036
35,Artiče,Artiča,Artiču,45.9048,15.5922,Posavska,SI036
36,Artiža Vas,Artiže Vasa,Artiži Vasu,45.9374,14.8029,Osrednjeslovenska,SI041
37,Artmanja Vas,Artmanje Vasa,Artmanji Vasu,45.9104,15.0086,Jugovzhodna Slovenija,SI037
38,Arto,Arta,Artu,46.0092,15.3041,Posavska,SI036
40,Avber,Avbera,Avberu,45.7034,13.8706,Obalno-kraška,SI044
41,Avče,Avča,Avču,46.088,13.6347,Goriška,SI043
43,Avsa,Avse,Avsi,46.2464,13.578,Goriška,SI043
45,Babiči,Babičiv,Babičih,45.55,13.7333,Obalno-kraška,SI044
46,Babinci,Babinciv,Babincih,46.5168,16.2027,Pomurska,SI031
50,Babna Gora,Babne Gore,Babni Gori,45.9104,15.0086,Jugovzhodna Slovenija,SI037
53,Babni Vrt,Babniv Vrta,Babnih Vrtu,46.2333,14.3667,Gorenjska,SI042
55,Bač,Bača,Baču,45.5679,14.2527,Primorsko-notranjska,SI038
57,Bača Pri Modreju,Bače Priv Modrejua,Bači Prih Modrejuu,46.1857,13.7352,Goriška,SI043
58,Bača Pri Podbrdu,Bače Priv Podbrdua,Bači Prih Podbrduu,46.1857,13.7352,Goriška,SI043
60,Bakovci,Bakovciv,Bakovcih,46.6667,16.1667,Pomurska,SI031
